Date,Description,Amount
2026-09-01,Client Invoice - Acme Retail Ltd,1850.00
2026-09-01,Office Rent - September,-950.00
2026-09-02,Electricity Bill - ESB,-142.30
2026-09-02,Supplier Payment - Greenfield Wholesale,-620.75
2026-09-03,Client Invoice - Murphy & Sons,940.00
2026-09-03,Software Subscription - Xero,-45.00
2026-09-04,Staff Wages,-2100.00
2026-09-05,Insurance Premium - Business Cover,-310.00
2026-09-05,Client Invoice - Delaney Retail,675.50
2026-09-08,Fuel - Company Van,-88.40
2026-09-08,Supplier Payment - Dublin Packaging Co,-455.00
2026-09-09,Client Invoice - O'Brien Hardware,1120.00
2026-09-10,Telephone/Internet - Eir,-64.20
2026-09-10,Cheque Issued - Landlord Maintenance,-300.00
2026-09-11,Client Invoice - Kelly Bros,830.00
2026-09-12,Supplier Payment - NorthStar Supplies,-275.60
2026-09-12,Bank Interest Received,12.40
2026-09-15,Office Supplies - Staples,-58.90
2026-09-15,Client Invoice - Hanlon Retail,495.00
2026-09-16,Staff Wages,-2100.00
2026-09-17,Insurance Refund,45.00
2026-09-18,Van Repair - Quick Fix Garage,-210.00
2026-09-19,Client Invoice - Barrett & Co,760.00
2026-09-22,Software Subscription - Adobe,-52.50
2026-09-23,Supplier Payment - Coastal Foods,-390.00
