Date,Description,Amount
2026-09-01,INV RECEIPT ACME RETAIL,1850.00
2026-09-01,POS DD OFFICE RENT SEPT,-950.00
2026-09-02,ESB ELECTRIC DD,-142.30
2026-09-02,GREENFIELD WHOLESALE PMT,-620.75
2026-09-03,INV RECEIPT MURPHY SONS,940.00
2026-09-03,XERO SUBSCRIPTION,-45.00
2026-09-04,PAYROLL WAGES,-2100.00
2026-09-05,BUSINESS INS PREMIUM DD,-310.00
2026-09-05,INV RECEIPT DELANEY RETAIL,675.50
2026-09-08,FUEL CARD VAN,-88.40
2026-09-08,DUBLIN PACKAGING CO PMT,-460.00
2026-09-09,INV RECEIPT OBRIEN HARDWARE,1120.00
2026-09-10,EIR TELECOM DD,-64.20
2026-09-11,INV RECEIPT KELLY BROS,830.00
2026-09-12,NORTHSTAR SUPPLIES PMT,-275.60
2026-09-12,BANK INTEREST CR,12.40
2026-09-13,CHEQUE 004521 PRESENTED,-300.00
2026-09-15,STAPLES OFFICE SUPPLIES,-58.90
2026-09-15,INV RECEIPT HANLON RETAIL,495.00
2026-09-16,PAYROLL WAGES,-2100.00
2026-09-17,INSURANCE REFUND CR,45.00
2026-09-18,QUICK FIX GARAGE VAN REPAIR,-210.00
2026-09-19,INV RECEIPT BARRETT CO,760.00
2026-09-20,BANK CHARGES QTR FEE,-35.00
2026-09-22,ADOBE SUBSCRIPTION,-52.50
2026-09-23,COASTAL FOODS PMT,-390.00
